"original_path","proposed_path","course_code","course_title","department","program","semester","year","exam_type","confidence"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/2nd Semester/2011/Second semester 2011/CSE100.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Computer Science & Engineering/B.Tech/Core/2011/EndSem/CSE100_Computer_Programming_EndSem_2011.pdf","CSE100","Computer Programming","Computer Science & Engineering","B.Tech","Sem01","2011","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/M.Tech/2nd Semester/2023/21BM614_I Ass April 2023.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Biotechnology & Health/M.Tech/Core/2023/Ass1/21BM614_Medical_Decision_Support_Systems_Ass1_2023.pdf","21BM614","Medical Decision Support Systems","Biotechnology & Health","M.Tech","Sem02","2023","Ass1","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/3rd Semester/Third semester 2014 Regular/PHY275.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Physical Sciences/B.Tech/Core/2014/EndSem/PHY275_Nuclear_Energy_Principles_and_Applications_EndSem_2014.pdf","PHY275","Nuclear Energy: Principles and Applications","Physical Sciences","B.Tech","Sem03","2014","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/5th Semester/2025/Fifth semester 2025 Mid Term/23CSE301_V Sem Mid Term_Odd 2025.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Computer Science & Engineering/B.Tech/Core/2025/MidTerm/23CSE301_Machine_Learning_MidTerm_2025.pdf","23CSE301","Machine Learning","Computer Science & Engineering","B.Tech","Sem05","2025","MidTerm","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/4th Semester/Fourth semester 2013 Supply/ECE221.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Electronics & Communication/B.Tech/Core/2013/EndSem/ECE221_Digital_Signal_Processing_EndSem_2013.pdf","ECE221","Digital Signal Processing","Electronics & Communication","B.Tech","Sem06","2013","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/Integrated MSc & MA/4th Semester/2022/18PHY216_IV Sem May2022.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Electronics & Communication/Integrated M.Sc./Core/2022/EndSem/18PHY216_Digital_Electronics_EndSem_2022.pdf","18PHY216","Digital Electronics","Electronics & Communication","Integrated M.Sc.","Sem04","2022","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/3rd Semester/2023/19CSE204_III Sem End_Odd 2023.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Computer Science & Engineering/B.Tech/Core/2023/EndSem/19CSE204_Object_Oriented_Paradigm_EndSem_2023.pdf","19CSE204","Object Oriented Paradigm","Computer Science & Engineering","B.Tech","Sem03","2023","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/MSW/4th Semester/Fourth Semester 2018 Regular/15SWK634_IVSem_April-May2018.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Humanities & Social Sciences/MSW/Core/2018/EndSem/15SWK634_Technological_Interventions_for_Community_Development_EndSem_2018.pdf","15SWK634","Technological Interventions for Community Development","Humanities & Social Sciences","MSW","Sem04","2018","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/2nd Semester/Second semester 2014 Supply/ECE100.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/Electronics & Communication/B.Tech/Core/2014/EndSem/ECE100_Electronics_Engineering_EndSem_2014.pdf","ECE100","Electronics Engineering","Electronics & Communication","B.Tech","Sem02","2014","EndSem","high"
"/run/media/anuruprkris/DATA/amrita-exam-papers/Examination  Papers/B.Tech/2nd Semester/2011/Second semester 2011/Cultural_Education.pdf","/run/media/anuruprkris/DATA/amrita-exam-papers-indexed/General & Interdisciplinary/B.Tech/Core/2011/EndSem/CUL101_Cultural_Education_-_I_EndSem_2011.pdf","CUL101","Cultural Education - I","General & Interdisciplinary","B.Tech","Sem01","2011","EndSem","high"
